Date,Campaign_Name,Ad_Set,Creative_Angle,Spend,Impressions,Reach,CPM,CTR,Thumbstop_Rate,Video_Views_3s,Video_Views_25,Video_Views_100,Saves,Shares,Comments,Clicks
2026-03-17,"Sea, Pool, Repeat",Families 30-48,Pool-to-Sea,3602,86795,79661,41.5,3.64,43.3,37582,29461,13289,508,166,78,3159
2026-03-17,"Sea, Pool, Repeat",Families 30-48,Morning Calm,1270,26185,24087,48.5,2.17,29.1,7619,6139,2836,59,18,6,568
2026-03-17,"Sea, Pool, Repeat",Families 30-48,Resort Beauty,1103,18201,15707,60.6,1.37,19.3,3512,2742,1316,63,20,8,249
2026-03-17,"Sea, Pool, Repeat",Families 30-48,Snorkeling First Shot,2582,42819,37530,60.3,2.05,37.9,16228,12110,7268,230,90,26,877
2026-03-17,Snorkel Morning,Divers 22-40,Morning Calm,1887,27790,25014,67.9,1.99,31.6,8781,7136,3119,108,41,15,553
2026-03-17,Snorkel Morning,Divers 22-40,Resort Beauty,1333,23345,20085,57.1,1.75,25.8,6023,4740,2565,55,21,6,408
2026-03-17,Snorkel Morning,Divers 22-40,Snorkeling First Shot,2217,36107,33304,61.4,1.55,42.0,15164,11715,7107,115,42,19,559
2026-03-24,Weekend Escape,Leisure 28-50,Couple Escape,2068,41777,38274,49.5,2.56,36.0,15039,11171,5634,187,76,25,1069
2026-03-24,Weekend Escape,Leisure 28-50,Resort Beauty,3517,80665,66969,43.6,2.04,18.8,15165,11979,5714,167,65,25,1645
2026-03-24,"Sea, Pool, Repeat",Families 30-48,Morning Calm,3050,53697,46865,56.8,2.01,32.4,17397,13980,8398,125,45,13,1079
2026-03-24,Room With A View,Luxury 35-55,Pool-to-Sea,2836,39608,35233,71.6,3.6,50.8,20120,15407,8687,211,73,35,1425
2026-03-24,Room With A View,Luxury 35-55,Morning Calm,1081,16304,14167,66.3,1.28,32.0,5217,3561,2122,48,19,5,208
2026-03-24,Room With A View,Luxury 35-55,Couple Escape,2073,47545,41684,43.6,2.7,39.4,18732,12808,6388,209,77,23,1283
2026-03-24,Room With A View,Luxury 35-55,Resort Beauty,3069,73245,66794,41.9,1.57,26.6,19483,13318,6424,126,42,19,1149
2026-03-24,Snorkel Morning,Divers 22-40,Pool-to-Sea,3028,42768,36652,70.8,2.98,45.3,19373,14484,7345,206,78,25,1274
2026-03-24,Snorkel Morning,Divers 22-40,Couple Escape,1859,30032,25740,61.9,2.3,33.2,9970,7048,3128,151,53,24,690
2026-03-24,Snorkel Morning,Divers 22-40,Snorkeling First Shot,3394,47336,40734,71.7,1.84,26.1,12354,9680,5900,250,93,28,870
2026-03-31,Summer Reset,Couples 25-45,Couple Escape,1610,29981,25693,53.7,2.84,38.7,11602,8246,3998,119,46,12,851
2026-03-31,Weekend Escape,Leisure 28-50,Pool-to-Sea,2317,55430,48018,41.8,3.52,43.9,24333,17362,8128,323,116,34,1951
2026-03-31,Weekend Escape,Leisure 28-50,Snorkeling First Shot,2116,36608,32298,57.8,2.93,28.7,10506,8197,3834,167,56,25,1072
2026-03-31,"Sea, Pool, Repeat",Families 30-48,Morning Calm,3525,52769,44285,66.8,1.79,33.4,17624,11993,6886,216,79,26,944
2026-03-31,"Sea, Pool, Repeat",Families 30-48,Couple Escape,3585,77934,65951,46.0,2.06,36.7,28601,21099,9618,467,157,71,1605
2026-03-31,"Sea, Pool, Repeat",Families 30-48,Snorkeling First Shot,1146,20648,18444,55.5,3.61,26.7,5513,4328,2400,106,30,12,745
2026-03-31,Room With A View,Luxury 35-55,Pool-to-Sea,2102,35387,30059,59.4,2.65,46.3,16384,11700,6449,173,48,27,937
2026-03-31,Room With A View,Luxury 35-55,Couple Escape,2239,56397,48947,39.7,2.38,35.7,20133,15836,7851,303,116,50,1342
2026-03-31,Room With A View,Luxury 35-55,Snorkeling First Shot,3309,71468,64301,46.3,2.16,16.0,11434,9064,5250,521,187,53,1543
2026-03-31,Snorkel Morning,Divers 22-40,Couple Escape,941,16743,14355,56.2,2.8,37.4,6261,4868,2167,73,29,10,468
2026-03-31,Snorkel Morning,Divers 22-40,Resort Beauty,2261,42660,36194,53.0,1.83,32.9,14035,10482,6125,94,34,9,780
2026-04-07,Summer Reset,Couples 25-45,Pool-to-Sea,1477,24575,21736,60.1,2.9,44.5,10935,8674,3654,179,70,27,712
2026-04-07,Summer Reset,Couples 25-45,Morning Calm,1131,24640,20700,45.9,2.42,30.1,7416,5421,2678,97,39,14,596
2026-04-07,Summer Reset,Couples 25-45,Couple Escape,3283,50198,43678,65.4,2.66,43.1,21635,16429,9259,243,98,36,1335
2026-04-07,Summer Reset,Couples 25-45,Snorkeling First Shot,1232,18091,16373,68.1,2.57,58.0,10492,7565,3416,64,17,10,464
2026-04-07,Weekend Escape,Leisure 28-50,Morning Calm,2057,33832,29343,60.8,2.27,34.7,11739,8389,3630,111,31,16,767
2026-04-07,Weekend Escape,Leisure 28-50,Couple Escape,3398,59929,50044,56.7,3.06,38.6,23132,18867,11419,275,109,31,1833
2026-04-07,"Sea, Pool, Repeat",Families 30-48,Couple Escape,3032,65344,55275,46.4,2.18,33.2,21694,14869,7644,245,75,42,1424
2026-04-07,"Sea, Pool, Repeat",Families 30-48,Snorkeling First Shot,1269,24263,22419,52.3,1.14,26.6,6453,4944,2374,120,38,16,276
2026-04-07,Room With A View,Luxury 35-55,Morning Calm,3490,85749,72465,40.7,1.87,33.0,28297,20089,10104,352,114,48,1603
2026-04-07,Room With A View,Luxury 35-55,Snorkeling First Shot,2445,40413,33821,60.5,2.41,36.9,14912,11017,5707,146,59,19,973
2026-04-07,Snorkel Morning,Divers 22-40,Couple Escape,1437,31651,27802,45.4,1.22,34.5,10919,8226,3920,160,49,18,386
2026-04-14,Summer Reset,Couples 25-45,Snorkeling First Shot,2987,42070,38123,71.0,2.48,32.3,13588,10429,6135,165,54,18,1043
2026-04-14,Weekend Escape,Leisure 28-50,Resort Beauty,3566,63565,53120,56.1,1.57,18.2,11568,7977,3458,177,72,25,997
2026-04-14,"Sea, Pool, Repeat",Families 30-48,Resort Beauty,2017,35017,29956,57.6,1.58,24.9,8719,7058,3724,77,28,9,553
2026-04-14,Room With A View,Luxury 35-55,Couple Escape,3068,54204,48259,56.6,2.35,34.2,18537,13736,5848,283,92,43,1273
2026-04-14,Room With A View,Luxury 35-55,Resort Beauty,956,16980,15791,56.3,1.95,22.0,3735,2948,1622,41,12,4,331
2026-04-14,Snorkel Morning,Divers 22-40,Morning Calm,3099,50390,45078,61.5,2.03,24.8,12496,8660,4021,179,64,24,1022
2026-04-14,Snorkel Morning,Divers 22-40,Snorkeling First Shot,1404,34581,28711,40.6,1.61,46.0,15907,11465,5346,195,73,30,556
