Date,Campaign_Name,Ad_Group,Hook_Type,Creator_Style,Spend,Impressions,CPM,CTR,Views_2s,Views_6s,Avg_Watch_Time,Completion_Rate,Shares,Comments,Clicks
2026-04-02,Weekend Escape,Leisure 25-45,POV Vacation,Cinematic,3003,54108,55.5,5.19,39339,20982,16.6,54.3,254,132,2808
2026-04-02,Weekend Escape,Leisure 25-45,Snorkeling First Shot,Cinematic,1058,22510,47.0,3.76,16504,8876,19.4,56.1,193,91,846
2026-04-02,Weekend Escape,Leisure 25-45,Snorkeling First Shot,Voiceover,686,17818,38.5,5.05,10172,6803,11.5,51.4,87,62,899
2026-04-02,"Sea, Pool, Repeat",Families 28-48,POV Vacation,UGC Creator,1789,33376,53.6,5.52,24316,8036,10.5,35.5,242,114,1842
2026-04-02,"Sea, Pool, Repeat",Families 28-48,Creator Intro,Selfie Walkthrough,1099,29306,37.5,5.84,20580,7120,9.7,36.5,123,64,1711
2026-04-02,"Sea, Pool, Repeat",Families 28-48,Snorkeling First Shot,Cinematic,3138,80051,39.2,1.63,58078,19835,10.9,30.4,478,309,1304
2026-04-02,Room With A View,Luxury 30-55,POV Vacation,Selfie Walkthrough,1429,32330,44.2,6.08,17908,8360,6.8,34.9,192,109,1965
2026-04-02,Room With A View,Luxury 30-55,POV Vacation,Voiceover,2316,67719,34.2,5.51,48572,26907,11.0,53.7,507,328,3731
2026-04-02,Room With A View,Luxury 30-55,Fast Reveal,Voiceover,2222,43398,51.2,3.4,24297,13042,7.8,43.5,213,99,1475
2026-04-02,Room With A View,Luxury 30-55,Fast Reveal,Cinematic,1250,29691,42.1,2.95,18692,10806,11.9,46.2,157,105,875
2026-04-02,Room With A View,Luxury 30-55,Creator Intro,Selfie Walkthrough,1594,47440,33.6,6.5,26268,11944,9.3,37.6,364,154,3083
2026-04-02,Room With A View,Luxury 30-55,Snorkeling First Shot,Selfie Walkthrough,2975,57432,51.8,5.08,40203,12025,9.7,31.4,331,130,2917
2026-04-02,Snorkel Morning,Outdoor 20-38,Fast Reveal,Cinematic,2318,53410,43.4,2.82,37134,20586,10.2,46.4,408,256,1506
2026-04-02,Snorkel Morning,Outdoor 20-38,Pool-to-Sea,Cinematic,2130,55905,38.1,2.58,41218,27970,18.5,64.5,411,254,1442
2026-04-02,Snorkel Morning,Outdoor 20-38,Snorkeling First Shot,UGC Creator,2864,62807,45.6,4.71,43745,23884,9.0,50.2,418,220,2958
2026-04-09,Summer Reset,Travel Intent 22-38,Fast Reveal,UGC Creator,1001,18036,55.5,5.15,9928,4464,6.8,29.8,159,63,928
2026-04-09,Summer Reset,Travel Intent 22-38,Creator Intro,UGC Creator,1845,30852,59.8,5.52,19941,7774,10.0,35.1,151,53,1703
2026-04-09,Summer Reset,Travel Intent 22-38,Creator Intro,Voiceover,1712,40093,42.7,4.71,26973,15454,11.8,48.8,294,121,1888
2026-04-09,Summer Reset,Travel Intent 22-38,Pool-to-Sea,UGC Creator,1751,47196,37.1,4.14,29338,16787,11.0,49.2,363,228,1953
2026-04-09,"Sea, Pool, Repeat",Families 28-48,Fast Reveal,Selfie Walkthrough,1384,22577,61.3,4.52,13387,5413,6.0,31.9,171,81,1020
2026-04-09,"Sea, Pool, Repeat",Families 28-48,Fast Reveal,Cinematic,1356,34242,39.6,2.47,22915,10936,12.5,44.0,104,60,845
2026-04-09,"Sea, Pool, Repeat",Families 28-48,Creator Intro,Cinematic,1555,39567,39.3,4.08,26251,16470,15.3,53.3,327,119,1614
2026-04-09,"Sea, Pool, Repeat",Families 28-48,Creator Intro,Selfie Walkthrough,677,19510,34.7,5.82,14005,5987,10.2,42.8,154,54,1135
2026-04-09,"Sea, Pool, Repeat",Families 28-48,Snorkeling First Shot,Selfie Walkthrough,2916,72178,40.4,4.94,49476,22111,8.9,38.1,487,286,3565
2026-04-09,"Sea, Pool, Repeat",Families 28-48,Snorkeling First Shot,UGC Creator,722,14855,48.6,2.57,8587,2342,5.9,22.3,76,33,381
2026-04-09,Room With A View,Luxury 30-55,Pool-to-Sea,Selfie Walkthrough,2033,40417,50.3,3.46,27176,11385,10.8,33.4,362,262,1398
2026-04-09,Room With A View,Luxury 30-55,Snorkeling First Shot,Cinematic,1791,50450,35.5,1.63,28584,11576,9.5,29.3,267,143,822
2026-04-09,Snorkel Morning,Outdoor 20-38,Fast Reveal,UGC Creator,1415,28075,50.4,4.89,17410,5508,8.0,24.8,109,45,1372
2026-04-09,Snorkel Morning,Outdoor 20-38,Creator Intro,Selfie Walkthrough,1862,64878,28.7,6.06,46411,19769,8.5,41.1,386,275,3931
2026-04-16,Summer Reset,Travel Intent 22-38,POV Vacation,Selfie Walkthrough,2825,58977,47.9,5.59,33547,15303,10.0,33.5,455,322,3296
2026-04-16,Summer Reset,Travel Intent 22-38,Fast Reveal,UGC Creator,2459,83639,29.4,3.83,47400,16778,7.2,29.7,294,181,3203
2026-04-16,Summer Reset,Travel Intent 22-38,Fast Reveal,Cinematic,827,28419,29.1,3.0,20945,8887,9.0,42.8,186,95,852
2026-04-16,Summer Reset,Travel Intent 22-38,Pool-to-Sea,UGC Creator,1202,19544,61.5,3.56,12648,5789,8.8,39.9,93,45,695
2026-04-16,Summer Reset,Travel Intent 22-38,Pool-to-Sea,Voiceover,2651,75099,35.3,4.06,50146,38127,13.8,64.0,634,288,3049
2026-04-16,Weekend Escape,Leisure 25-45,POV Vacation,Cinematic,660,12547,52.6,4.96,7534,6316,16.3,60.0,60,29,622
2026-04-16,Weekend Escape,Leisure 25-45,POV Vacation,Voiceover,2082,55372,37.6,5.8,35378,22718,11.6,55.7,223,137,3211
2026-04-16,Weekend Escape,Leisure 25-45,Fast Reveal,Selfie Walkthrough,654,12111,54.0,4.58,7436,2418,6.8,26.5,73,52,554
2026-04-16,Weekend Escape,Leisure 25-45,Fast Reveal,Voiceover,952,17000,56.0,2.96,10572,3918,10.0,34.6,145,85,503
2026-04-16,Weekend Escape,Leisure 25-45,Fast Reveal,Cinematic,2134,38659,55.2,4.11,26655,9934,10.3,39.3,306,216,1588
2026-04-16,"Sea, Pool, Repeat",Families 28-48,POV Vacation,Cinematic,2798,62177,45.0,4.29,41756,20690,14.5,50.1,466,314,2667
2026-04-16,"Sea, Pool, Repeat",Families 28-48,Fast Reveal,Selfie Walkthrough,811,16825,48.2,4.53,9805,4310,6.6,30.4,119,77,762
2026-04-16,"Sea, Pool, Repeat",Families 28-48,Fast Reveal,Cinematic,634,19329,32.8,3.44,13534,7788,10.2,48.2,155,91,664
2026-04-16,"Sea, Pool, Repeat",Families 28-48,Pool-to-Sea,Selfie Walkthrough,2900,51236,56.6,4.5,28692,16056,9.5,46.7,357,224,2305
2026-04-16,"Sea, Pool, Repeat",Families 28-48,Snorkeling First Shot,UGC Creator,1462,35571,41.1,4.56,24407,9544,11.1,38.9,314,216,1622
2026-04-16,Room With A View,Luxury 30-55,POV Vacation,Voiceover,2638,60504,43.6,5.15,43141,21932,10.0,49.5,444,284,3115
2026-04-16,Room With A View,Luxury 30-55,Fast Reveal,Selfie Walkthrough,2012,42180,47.7,4.05,29367,6756,5.7,21.3,217,146,1708
2026-04-16,Room With A View,Luxury 30-55,Fast Reveal,Voiceover,1458,41303,35.3,3.58,23340,11059,8.3,34.2,303,128,1478
2026-04-16,Room With A View,Luxury 30-55,Fast Reveal,Cinematic,1094,20334,53.8,2.73,13488,5500,10.7,39.9,145,54,555
2026-04-16,Room With A View,Luxury 30-55,Creator Intro,Selfie Walkthrough,1182,22301,53.0,5.15,15555,6520,8.6,40.4,192,76,1148
2026-04-16,Room With A View,Luxury 30-55,Pool-to-Sea,Voiceover,2282,65200,35.0,3.29,37760,28455,11.3,53.8,581,392,2145
2026-04-16,Snorkel Morning,Outdoor 20-38,POV Vacation,Voiceover,2896,71683,40.4,4.74,53063,27518,11.3,50.7,576,355,3397
2026-04-16,Snorkel Morning,Outdoor 20-38,Fast Reveal,Cinematic,1458,29454,49.5,3.67,21148,9278,9.9,46.6,222,162,1080
2026-04-16,Snorkel Morning,Outdoor 20-38,Creator Intro,Selfie Walkthrough,1075,18439,58.3,5.31,12546,5529,9.3,36.5,70,31,979
2026-04-16,Snorkel Morning,Outdoor 20-38,Creator Intro,Voiceover,1910,65410,29.2,4.64,39521,17290,11.5,38.4,249,119,3035
2026-04-16,Snorkel Morning,Outdoor 20-38,Creator Intro,Cinematic,1007,24501,41.1,4.18,15334,11021,17.0,65.9,160,61,1024
2026-04-16,Snorkel Morning,Outdoor 20-38,Snorkeling First Shot,UGC Creator,1895,31478,60.2,2.44,23422,6128,5.0,23.3,271,137,768
